COUNTYFP,Pop_2019,Name
51001,32316,Accomack County
51003,109330,Albemarle County
51005,14860,Alleghany County
51007,13145,Amelia County
51009,31605,Amherst County
51011,15911,Appomattox County
51013,236842,Arlington County
51015,75558,Augusta County
51017,4147,Bath County
51019,78997,Bedford County
51021,6280,Bland County
51023,33419,Botetourt County
51025,16231,Brunswick County
51027,21004,Buchanan County
51029,17148,Buckingham County
51031,54885,Campbell County
51033,30725,Caroline County
51035,29791,Carroll County
51036,6963,Charles City County
51037,11880,Charlotte County
51041,352802,Chesterfield County
51043,14619,Clarke County
51045,5131,Craig County
51047,52605,Culpeper County
51049,9932,Cumberland County
51051,14318,Dickenson County
51053,28544,Dinwiddie County
51057,10953,Essex County
51059,1147532,Fairfax County
51061,71222,Fauquier County
51063,15749,Floyd County
51065,27270,Fluvanna County
51067,56042,Franklin County
51069,89313,Frederick County
51071,16720,Giles County
51073,37348,Gloucester County
51075,23753,Goochland County
51077,15550,Grayson County
51079,19819,Greene County
51081,11336,Greensville County
51083,33911,Halifax County
51085,107766,Hanover County
51087,330818,Henrico County
51089,50557,Henry County
51091,2190,Highland County
51093,37109,Isle of Wight County
51095,76523,James City County
51097,7025,King and Queen County
51099,26836,King George County
51101,17148,King William County
51103,10603,Lancaster County
51105,23423,Lee County
51107,413538,Loudoun County
51109,37591,Louisa County
51111,12196,Lunenburg County
51113,13261,Madison County
51115,8834,Mathews County
51117,30587,Mecklenburg County
51119,10582,Middlesex County
51121,98535,Montgomery County
51125,14930,Nelson County
51127,23091,New Kent County
51131,11710,Northampton County
51133,12095,Northumberland County
51135,15232,Nottoway County
51137,37051,Orange County
51139,23902,Page County
51141,17608,Patrick County
51143,60354,Pittsylvania County
51145,29652,Powhatan County
51147,22802,Prince Edward County
51149,38353,Prince George County
51153,470335,Prince William County
51155,34027,Pulaski County
51157,7370,Rappahannock County
51159,9023,Richmond County
51161,94186,Roanoke County
51163,22573,Rockbridge County
51165,81948,Rockingham County
51167,26586,Russell County
51169,21566,Scott County
51171,43616,Shenandoah County
51173,30104,Smyth County
51175,17631,Southampton County
51177,136215,Spotsylvania County
51179,152882,Stafford County
51181,6422,Surry County
51183,11159,Sussex County
51185,40595,Tazewell County
51187,40164,Warren County
51191,53740,Washington County
51193,18015,Westmoreland County
51195,37383,Wise County
51197,28684,Wythe County
51199,68280,York County
51510,159428,Alexandria City
51520,16762,Bristol City
51530,6478,Buena Vista City
51540,47266,Charlottesville City
51550,244835,Chesapeake City
51570,17370,Colonial Heights City
51580,5538,Covington City
51590,40044,Danville City
51595,5346,Emporia City
51600,24019,Fairfax City
51610,14617,Falls Church City
51620,7967,Franklin City
51630,29036,Fredericksburg City
51640,6347,Galax City
51650,134510,Hampton City
51660,53016,Harrisonburg City
51670,22529,Hopewell City
51678,7446,Lexington City
51680,82168,Lynchburg City
51683,41085,Manassas City
51685,17478,Manassas Park City
51690,12554,Martinsville City
51700,179225,Newport News City
51710,242742,Norfolk City
51720,3981,Norton City
51730,31346,Petersburg City
51735,12271,Poquoson City
51740,94398,Portsmouth City
51750,18249,Radford City
51760,230436,Richmond City
51770,99143,Roanoke City
51775,25301,Salem City
51790,24932,Staunton City
51800,92108,Suffolk City
51810,449974,Virginia Beach City
51820,22630,Waynesboro City
51830,14954,Williamsburg City
51840,28078,Winchester City
